date,count,new cases
2020-01-22,1,+0
2020-01-23,1,+0
2020-01-24,2,+1
2020-01-25,2,+0
2020-01-26,5,+3
2020-01-27,5,+0
2020-01-28,5,+0
2020-01-29,5,+0
2020-01-30,5,+0
2020-01-31,7,+2
2020-02-01,8,+1
2020-02-02,8,+0
2020-02-03,11,+3
2020-02-04,11,+0
2020-02-05,11,+0
2020-02-06,11,+0
2020-02-07,11,+0
2020-02-08,11,+0
2020-02-09,11,+0
2020-02-10,11,+0
2020-02-11,12,+1
2020-02-12,12,+0
2020-02-13,13,+1
2020-02-14,13,+0
2020-02-15,13,+0
2020-02-16,13,+0
2020-02-17,13,+0
2020-02-18,13,+0
2020-02-19,13,+0
2020-02-20,13,+0
2020-02-21,15,+2
2020-02-22,15,+0
2020-02-23,15,+0
2020-02-24,51,+36
2020-02-25,51,+0
2020-02-26,57,+6
2020-02-27,58,+1
2020-02-28,60,+2
2020-02-29,68,+8
2020-03-01,74,+6
2020-03-02,98,+24
2020-03-03,118,+20
2020-03-04,149,+31
2020-03-05,217,+68
2020-03-06,262,+45
2020-03-07,402,+140
2020-03-08,518,+116
2020-03-09,583,+65
2020-03-10,959,+376
2020-03-11,1281,+322
2020-03-12,1663,+382
2020-03-13,2179,+516
2020-03-14,2727,+548
2020-03-15,3499,+772
2020-03-16,4632,+1133
2020-03-17,6421,+1789
2020-03-18,7783,+1362
2020-03-19,13677,+5894
2020-03-20,19100,+5423
2020-03-21,25489,+6389
2020-03-22,33276,+7787
2020-03-23,43847,+10571
2020-03-24,53740,+9893
2020-03-25,65778,+12038
2020-03-26,83836,+18058
2020-03-27,101657,+17821
