Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,0,0,0,0,+0,0.000
03-29-2020,0,0,0,0,+0,0.000
03-30-2020,1,0,0,0,+1,0.000
03-31-2020,1,0,0,0,+0,1.000
04-01-2020,1,0,0,0,+0,1.000
04-02-2020,3,0,0,0,+2,3.000
04-03-2020,4,0,0,0,+1,1.333
04-04-2020,9,0,0,0,+5,2.250
04-05-2020,10,0,0,0,+1,1.111
04-06-2020,10,0,0,0,+0,1.000
04-07-2020,11,0,0,0,+1,1.100
04-08-2020,11,0,0,0,+0,1.000
04-09-2020,12,0,0,0,+1,1.091
04-10-2020,12,0,0,0,+0,1.000
04-11-2020,15,0,0,0,+3,1.250
04-12-2020,15,0,0,15,+0,1.000
04-13-2020,17,0,0,17,+2,1.133
04-14-2020,17,1,0,16,+0,1.000
04-15-2020,18,1,0,17,+1,1.059
04-16-2020,21,1,0,20,+3,1.167
04-17-2020,27,1,0,26,+6,1.286
04-18-2020,31,1,0,30,+4,1.148
04-19-2020,35,1,0,34,+4,1.129
04-20-2020,41,1,0,40,+6,1.171
04-21-2020,42,1,0,41,+1,1.024
04-22-2020,56,1,0,55,+14,1.333
04-23-2020,127,1,0,126,+71,2.268
04-24-2020,162,1,0,161,+35,1.276
04-25-2020,162,1,0,161,+0,1.000
04-26-2020,202,1,0,201,+40,1.247
04-27-2020,238,1,0,237,+36,1.178
04-28-2020,270,1,0,269,+32,1.134
04-29-2020,270,1,0,269,+0,1.000
04-30-2020,404,1,0,403,+134,1.496
05-01-2020,503,3,0,500,+99,1.245
05-02-2020,550,3,0,547,+47,1.093
05-03-2020,550,3,0,547,+0,1.000
05-04-2020,586,3,0,583,+36,1.065
05-05-2020,659,3,0,656,+73,1.125
05-06-2020,740,3,0,737,+81,1.123
05-07-2020,791,3,0,788,+51,1.069
05-08-2020,861,3,0,858,+70,1.088
05-09-2020,902,4,0,898,+41,1.048
05-10-2020,902,4,0,898,+0,1.000
05-11-2020,992,4,0,988,+90,1.100
05-12-2020,994,4,0,990,+2,1.002
05-13-2020,1101,5,0,1096,+107,1.108
05-14-2020,1175,5,0,1170,+74,1.067
05-15-2020,1234,5,0,1229,+59,1.050
05-16-2020,1234,5,0,1229,+0,1.000
05-17-2020,1234,5,0,1229,+0,1.000
05-18-2020,1316,6,0,1310,+82,1.066
05-19-2020,1331,6,0,1325,+15,1.011
05-20-2020,1363,6,0,1357,+32,1.024
05-21-2020,1398,6,0,1392,+35,1.026
05-22-2020,1418,6,0,1412,+20,1.014
05-23-2020,1418,6,0,1412,+0,1.000
05-24-2020,1418,6,0,1412,+0,1.000
05-25-2020,1418,6,0,1412,+0,1.000
05-26-2020,1451,8,0,1443,+33,1.023
05-27-2020,1458,8,0,1450,+7,1.005
05-28-2020,1466,8,0,1458,+8,1.005
05-29-2020,1481,8,0,1473,+15,1.010
05-30-2020,1481,8,0,1473,+0,1.000
05-31-2020,1481,8,0,1473,+0,1.000
06-01-2020,1502,8,0,1494,+21,1.014
06-02-2020,1504,10,0,1494,+2,1.001
06-03-2020,1518,10,0,1508,+14,1.009
