Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,1,0,0,0,+0,0.000
03-23-2020,1,0,0,0,+0,1.000
03-24-2020,1,0,0,0,+0,1.000
03-25-2020,1,0,0,0,+0,1.000
03-26-2020,3,0,0,0,+2,3.000
03-27-2020,2,0,0,0,+-1,0.667
03-28-2020,3,0,0,0,+1,1.500
03-29-2020,3,0,0,0,+0,1.000
03-30-2020,3,0,0,0,+0,1.000
03-31-2020,3,0,0,0,+0,1.000
04-01-2020,5,0,0,0,+2,1.667
04-02-2020,7,0,0,0,+2,1.400
04-03-2020,5,0,0,0,+-2,0.714
04-04-2020,8,0,0,0,+3,1.600
04-05-2020,10,0,0,0,+2,1.250
04-06-2020,10,0,0,0,+0,1.000
04-07-2020,15,0,0,0,+5,1.500
04-08-2020,15,0,0,0,+0,1.000
04-09-2020,15,0,0,0,+0,1.000
04-10-2020,15,0,0,0,+0,1.000
04-11-2020,17,0,0,0,+2,1.133
04-12-2020,17,0,0,17,+0,1.000
04-13-2020,21,0,0,21,+4,1.235
04-14-2020,38,0,0,38,+17,1.810
04-15-2020,38,0,0,38,+0,1.000
04-16-2020,58,0,0,58,+20,1.526
04-17-2020,67,0,0,67,+9,1.155
04-18-2020,68,0,0,68,+1,1.015
04-19-2020,77,0,0,77,+9,1.132
04-20-2020,73,0,0,73,+-4,0.948
04-21-2020,114,0,0,114,+41,1.562
04-22-2020,114,1,0,113,+0,1.000
04-23-2020,136,1,0,135,+22,1.193
04-24-2020,151,2,0,149,+15,1.110
04-25-2020,164,2,0,162,+13,1.086
04-26-2020,164,2,0,162,+0,1.000
04-27-2020,192,2,0,190,+28,1.171
04-28-2020,200,2,0,198,+8,1.042
04-29-2020,212,2,0,210,+12,1.060
04-30-2020,245,2,0,243,+33,1.156
05-01-2020,269,2,0,267,+24,1.098
05-02-2020,269,2,0,267,+0,1.000
05-03-2020,298,2,0,296,+29,1.108
05-04-2020,298,2,0,296,+0,1.000
05-05-2020,298,2,0,296,+0,1.000
05-06-2020,303,2,0,301,+5,1.017
05-07-2020,315,2,0,313,+12,1.040
05-08-2020,332,2,0,330,+17,1.054
05-09-2020,337,2,0,335,+5,1.015
05-10-2020,340,2,0,338,+3,1.009
05-11-2020,342,2,0,340,+2,1.006
05-12-2020,342,2,0,340,+0,1.000
05-13-2020,393,2,0,391,+51,1.149
05-14-2020,374,19,0,355,+-19,0.952
05-15-2020,374,19,0,355,+0,1.000
05-16-2020,405,19,0,386,+31,1.083
05-17-2020,421,26,0,395,+16,1.040
05-18-2020,423,26,0,397,+2,1.005
05-19-2020,442,26,0,416,+19,1.045
05-20-2020,552,27,0,525,+110,1.249
05-21-2020,552,27,0,525,+0,1.000
05-22-2020,436,27,0,409,+-116,0.790
05-23-2020,436,27,0,409,+0,1.000
05-24-2020,474,27,0,447,+38,1.087
05-25-2020,475,27,0,448,+1,1.002
05-26-2020,475,27,0,448,+0,1.000
05-27-2020,716,27,0,689,+241,1.507
05-28-2020,869,27,0,842,+153,1.214
05-29-2020,869,27,0,842,+0,1.000
05-30-2020,945,27,0,918,+76,1.087
05-31-2020,1455,27,0,1428,+510,1.540
06-01-2020,1456,27,0,1429,+1,1.001
06-02-2020,1574,27,0,1547,+118,1.081
06-03-2020,1730,27,0,1703,+156,1.099
