Date,Confirmed,Deaths,Recovered,Active,Confirmed New Cases,Confirmed multiplication factor
03-22-2020,0,0,0,0,+0,0.000
03-23-2020,0,0,0,0,+0,0.000
03-24-2020,0,0,0,0,+0,0.000
03-25-2020,0,0,0,0,+0,0.000
03-26-2020,0,0,0,0,+0,0.000
03-27-2020,0,0,0,0,+0,0.000
03-28-2020,1,0,0,0,+1,0.000
03-29-2020,1,0,0,0,+0,1.000
03-30-2020,1,0,0,0,+0,1.000
03-31-2020,1,0,0,0,+0,1.000
04-01-2020,0,0,0,0,+-1,0.000
04-02-2020,0,0,0,0,+0,0.000
04-03-2020,1,0,0,0,+1,0.000
04-04-2020,1,0,0,0,+0,1.000
04-05-2020,1,0,0,0,+0,1.000
04-06-2020,1,0,0,0,+0,1.000
04-07-2020,1,0,0,0,+0,1.000
04-08-2020,2,0,0,0,+1,2.000
04-09-2020,2,0,0,0,+0,1.000
04-10-2020,2,0,0,0,+0,1.000
04-11-2020,5,0,0,0,+3,2.500
04-12-2020,13,0,0,13,+8,2.600
04-13-2020,16,0,0,16,+3,1.231
04-14-2020,17,0,0,17,+1,1.062
04-15-2020,32,0,0,32,+15,1.882
04-16-2020,51,0,0,51,+19,1.594
04-17-2020,84,0,0,84,+33,1.647
04-18-2020,107,0,0,107,+23,1.274
04-19-2020,127,0,0,127,+20,1.187
04-20-2020,180,0,0,180,+53,1.417
04-21-2020,187,0,0,187,+7,1.039
04-22-2020,208,0,0,208,+21,1.112
04-23-2020,288,0,0,288,+80,1.385
04-24-2020,350,0,0,350,+62,1.215
04-25-2020,419,0,0,419,+69,1.197
04-26-2020,459,0,0,459,+40,1.095
04-27-2020,516,0,0,516,+57,1.124
04-28-2020,544,0,0,544,+28,1.054
04-29-2020,600,1,0,599,+56,1.103
04-30-2020,675,1,0,674,+75,1.125
05-01-2020,702,2,0,700,+27,1.040
05-02-2020,770,2,0,768,+68,1.097
05-03-2020,815,2,0,813,+45,1.058
05-04-2020,832,3,0,829,+17,1.021
05-05-2020,869,3,0,866,+37,1.044
05-06-2020,880,3,0,877,+11,1.013
05-07-2020,930,3,0,927,+50,1.057
05-08-2020,1024,3,0,1021,+94,1.101
05-09-2020,1061,3,0,1058,+37,1.036
05-10-2020,1099,3,0,1096,+38,1.036
05-11-2020,1132,7,0,1125,+33,1.030
05-12-2020,1170,7,0,1163,+38,1.034
05-13-2020,1229,8,0,1221,+59,1.050
05-14-2020,1250,8,0,1242,+21,1.017
05-15-2020,1296,8,0,1288,+46,1.037
05-16-2020,1311,8,0,1303,+15,1.012
05-17-2020,1311,8,0,1303,+0,1.000
05-18-2020,1400,8,0,1392,+89,1.068
05-19-2020,1411,8,0,1403,+11,1.008
05-20-2020,1437,8,0,1429,+26,1.018
05-21-2020,1437,8,0,1429,+0,1.000
05-22-2020,1555,8,0,1547,+118,1.082
05-23-2020,1555,8,0,1547,+0,1.000
05-24-2020,1560,8,0,1552,+5,1.003
05-25-2020,1601,8,0,1593,+41,1.026
05-26-2020,1601,8,0,1593,+0,1.000
05-27-2020,1622,8,0,1614,+21,1.013
05-28-2020,1622,8,0,1614,+0,1.000
05-29-2020,1732,8,0,1724,+110,1.068
05-30-2020,1732,8,0,1724,+0,1.000
05-31-2020,1742,8,0,1734,+10,1.006
06-01-2020,1787,8,0,1779,+45,1.026
06-02-2020,1789,8,0,1781,+2,1.001
06-03-2020,1794,8,0,1786,+5,1.003
